gamut,family,H,balancedCV,metricCV,balancedJump,metricJump
full,white,20,0.2998613927155797,0.4645136369890107,0.016469625679471783,0.023252580129535214
full,white,25,0.3105896298992798,0.45976339133752164,0.0184875507112391,0.020616252472021673
full,white,30,0.29352442453599165,0.40161294740900233,0.018867444683817475,0.017267562390340392
full,white,35,0.24732818275671348,0.2868780061150548,0.01692146556080264,0.013677383180599561
full,white,40,0.18282416457127512,0.22395949618495203,0.013198298405895734,0.014716218497733618
full,white,45,0.140519640112924,0.18860773871175462,0.012511239326938123,0.014014923564032968
full,white,50,0.12030734582220079,0.18896164584546343,0.009856078761654851,0.015961834697294244
full,white,55,0.09359410698674527,0.1976495341544094,0.007876041283870396,0.018256045850548925
full,white,60,0.08122755818215391,0.20694021309534377,0.008619863061601783,0.022969121237360876
full,white,65,0.10794978518222845,0.24821930523545155,0.011736498146458472,0.02758027173792606
full,white,70,0.1514211769294614,0.2883070991349784,0.015330929916394684,0.027153906143504675
full,white,75,0.17300574052077355,0.2746953446641253,0.01741954835392854,0.024735158974932243
full,white,80,0.16155702770385724,0.25323794697085666,0.015942564729060395,0.024162886855462883
full,white,85,0.15889365599726438,0.2843602731690017,0.014938268542164202,0.02465334103504852
full,white,90,0.16745223349604343,0.303646182090329,0.01298630642284919,0.0248508612176611
full,white,95,0.20275570019124914,0.33993847709964387,0.013972420319728413,0.02597479304718293
full,white,100,0.2510002998105706,0.36362115763418706,0.017616229904698345,0.02576440935022798
full,white,105,0.29991887830016967,0.3574792204942919,0.02045768499299292,0.021479702678091496
full,white,110,0.3258105317798236,0.3724714472148728,0.022218674816280388,0.019336410590782765
full,white,115,0.3011933643790622,0.38523243144305397,0.021677129105756514,0.019934845601242118
full,white,120,0.2288703336849079,0.366229399158435,0.01946592765026195,0.01984934131570634
full,white,125,0.15862778803293123,0.3195141831593372,0.017446569756435482,0.018973043169891252
full,white,130,0.1466441729393843,0.24967860291441218,0.015983542996987392,0.014005984621214485
full,white,135,0.1997529810557973,0.24926484024332676,0.014772763287725166,0.011048315855609957
full,white,140,0.21933797845783048,0.3208870298717368,0.0109818893286075,0.013666233732811067
full,white,145,0.15054325629573456,0.2871938720366718,0.010155352085942284,0.012865304402208563
full,white,150,0.21159410080314583,0.2598994013160115,0.013031921021507367,0.013958877240798345
full,white,155,0.35358128974490216,0.3635783742176314,0.02293211955786829,0.026481048076610357
full,white,160,0.5946121821414032,0.6439318504614894,0.028481974694215643,0.040293493497009766
full,white,165,0.7415589681180765,0.7932501194590243,0.03176356827128836,0.03813727875317759
full,white,170,0.8082803816391232,0.821008259842013,0.036783786857774114,0.04810496457928946
full,white,175,0.7690300081237444,0.7473332433832879,0.03395631406765333,0.04565570165382105
full,white,180,0.43736667073977326,0.5685100286048498,0.020001408319715752,0.02882477079207436
full,white,185,0.37540133670072756,0.464034867067683,0.01617126752402701,0.02452146644032
full,white,190,0.4582980415442677,0.5333421359855705,0.018545896421201333,0.02478512595396689
full,white,195,0.4431056886167508,0.47923543477323793,0.018667402083489416,0.02151021775537749
full,white,200,0.365998086005315,0.421287896501467,0.018540253371702474,0.01712015323974294
full,white,205,0.2954913311182547,0.4168720969096551,0.01454714159728267,0.018132136092332628
full,white,210,0.27808951233323276,0.41172185663195277,0.0151068586504131,0.026174872729666655
full,white,215,0.3254089896428146,0.537596903489517,0.018554168968439356,0.03209569934520766
full,white,220,0.35782800846582097,0.6076647388960614,0.020688077216270074,0.031740409372147685
full,white,225,0.36444339942846876,0.5664752044803693,0.029444650771303222,0.04010531423957588
full,white,230,0.44406855773794485,0.5459851998188682,0.03695044071434483,0.0439790478696008
full,white,235,0.5114501902622168,0.6140123800048555,0.03951528718770729,0.04182644848289846
full,white,240,0.5368064827549874,0.6248368429769504,0.03829036800988555,0.039958400764526475
full,white,245,0.514448177799803,0.5845261711544575,0.03477365339554032,0.037938953956483126
full,white,250,0.5544774983064424,0.679730953538364,0.02986687454189756,0.03560663343227209
full,white,255,0.5630243506218342,0.6491946330674112,0.02321222107335543,0.03403537753542116
full,white,260,0.5329148862105714,0.57371696094688,0.02222998123755523,0.03253460967594475
full,white,265,0.4964984052151166,0.5300158464210312,0.020161127628848634,0.031061923775289085
full,white,270,0.5097242865829248,0.5796487286740852,0.021694185902508184,0.02938892722838979
full,white,275,0.5241445556739197,0.7172576890536548,0.021177926730250783,0.028566888717749244
full,white,280,0.4452712626720968,0.7712927144956347,0.018301973413533804,0.026542606733750685
full,white,285,0.3176383947600172,0.6114154405175898,0.016012666004836022,0.01989018909481847
full,white,290,0.47290807532563334,0.7483740691260606,0.020007833094516484,0.03019065115303949
full,white,295,0.25147501756435564,0.6378732919428283,0.014674871379968129,0.029058872226231415
full,white,300,0.2579746447868329,0.4951186999872948,0.012327083814929498,0.021119359517003694
full,white,305,0.36092063030628874,0.42416159994193575,0.011895064826326128,0.01994642438047247
full,white,310,0.42165890065065365,0.4835577200931066,0.012641027119871012,0.020722359838567427
full,white,315,0.3947964028969027,0.4439536598035862,0.014546781926059136,0.01999258146928309
full,white,320,0.3170566217105042,0.41688432078917187,0.018711717651406452,0.021999152650694832
full,white,325,0.25597317049610335,0.3429680285420552,0.020238828951692153,0.020199243567725532
full,white,330,0.21033617097721571,0.4187347060044638,0.019547846993019945,0.024221813897014957
full,white,335,0.24888587151424718,0.5441540502213271,0.021611912890211492,0.03052904375844077
full,white,340,0.357929239872488,0.6569712413107466,0.020625027134587755,0.03748383698320928
full,white,345,0.30238670105324383,0.4987813827664425,0.020612937743662706,0.033286143890607044
full,white,350,0.2684849752740533,0.4670155964174332,0.01711672877665573,0.026040355066518545
full,white,355,0.2817283769030739,0.5148667809748833,0.014510741442247264,0.02533840729462016
